ChargeThreshold_fC,Probability,CrossSection_cm2
48.656493960594545,1.353678607288748e-05,1.353678607288748e-11
50.56528695140094,1.3316537413513287e-05,1.3316537413513286e-11
52.548961841521795,1.3058886115672067e-05,1.3058886115672067e-11
54.61045624591689,1.279526982398238e-05,1.279526982398238e-11
56.752823022104394,1.2521132626803592e-05,1.2521132626803591e-11
58.979234791123375,1.2255829145782627e-05,1.2255829145782627e-11
61.292988635853646,1.2004332238342614e-05,1.2004332238342614e-11
63.697510983650524,1.1739844726747834e-05,1.1739844726747834e-11
66.19636268052523,1.1456535556935705e-05,1.1456535556935704e-11
68.79324426438527,1.1133826388861053e-05,1.1133826388861053e-11
71.49200144514384,1.0822960821213201e-05,1.0822960821213201e-11
74.29663079981391,1.0510296429740266e-05,1.0510296429740265e-11
77.2112856910206,1.020854766422417e-05,1.020854766422417e-11
80.24028241769658,9.899987529963254e-06,9.899987529963254e-12
83.38810660706933,9.57467430003453e-06,9.574674300034531e-12
86.65941985740551,9.296677256934345e-06,9.296677256934345e-12
90.0590666413503,8.99171357776504e-06,8.99171357776504e-12
93.59208148008479,8.69884800980799e-06,8.698848009807989e-12
97.26369639892476,8.404150410438888e-06,8.404150410438888e-12
101.07934867540294,8.101637034909799e-06,8.101637034909799e-12
105.04468889130796,7.814676187699661e-06,7.814676187699661e-12
109.16558930060486,7.495561090530828e-06,7.495561090530827e-12
113.44815252562886,7.210816490463912e-06,7.210816490463912e-12
117.89872059443036,6.923866377095692e-06,6.9238663770956916e-12
122.52388433265504,6.619501971872523e-06,6.619501971872523e-12
127.33049312386702,6.323007177561521e-06,6.323007177561521e-12
132.32566505276918,6.015788802411407e-06,6.015788802411407e-12
137.51679744634194,5.745812860899605e-06,5.745812860899604e-12
142.91157782851056,5.4491721568629145e-06,5.449172156862914e-12
148.51799530456353,5.161567508010193e-06,5.161567508010193e-12
154.34435239218183,4.895347996382043e-06,4.895347996382042e-12
160.39927731659884,4.622387900832109e-06,4.622387900832109e-12
166.69173678809904,4.361240850761533e-06,4.361240850761533e-12
173.23104928077788,4.09008649236057e-06,4.09008649236057e-12
180.02689883222683,3.827813156764023e-06,3.827813156764023e-12
187.08934938457995,3.5882175865117462e-06,3.5882175865117462e-12
194.428859688159,3.344799705548212e-06,3.3447997055482116e-12
202.05629878978868,3.1229762552538888e-06,3.1229762552538885e-12
209.9829621287172,2.8942493277136236e-06,2.8942493277136235e-12
218.2205882639802,2.6683431172277777e-06,2.6683431172277775e-12
226.78137625797902,2.446480381535366e-06,2.446480381535366e-12
235.67800374201505,2.2628008519532157e-06,2.2628008519532155e-12
244.92364569053544,2.080078286933713e-06,2.080078286933713e-12
254.53199393189178,1.888650335604325e-06,1.888650335604325e-12
264.5172774245052,1.7050699200481175e-06,1.7050699200481175e-12
274.8942833284653,1.551861304556951e-06,1.5518613045569509e-12
285.67837890376654,1.4006434865295887e-06,1.4006434865295887e-12
296.8855342676131,1.2623358867131174e-06,1.2623358867131173e-12
308.5323460444908,1.1435577400261536e-06,1.1435577400261536e-12
320.63606194403195,9.973539342172444e-07,9.973539342172443e-13
333.21460630306854,8.903759327949956e-07,8.903759327949955e-13
346.2866066296995,7.834252917673439e-07,7.834252917673438e-13
359.87142118868144,6.803783314535394e-07,6.803783314535394e-13
373.98916766899316,5.842408931348473e-07,5.842408931348473e-13
388.66075297602805,4.940345444483682e-07,4.940345444483682e-13
403.9079041925337,4.2236486589536073e-07,4.223648658953607e-13
419.7532007541479,3.478817027062178e-07,3.4788170270621775e-13
436.2201078871804,2.791909513762221e-07,2.791909513762221e-13
453.333011358158,2.1745427243877203e-07,2.1745427243877202e-13
471.11725358659316,1.7631409678142517e-07,1.7631409678142517e-13
489.5991711744559,1.4690501370932908e-07,1.4690501370932907e-13
508.8061339079259,1.1553923157043755e-07,1.1553923157043754e-13
528.766585289181,9.396624157670885e-08,9.396624157670885e-14
549.5100846582482,7.046527962666005e-08,7.046527962666005e-14
571.0673509672956,5.6738626095466313e-08,5.6738626095466313e-14
593.4703082721838,4.596255801152438e-08,4.5962558011524375e-14
616.7521330086535,3.4231364028528335e-08,3.423136402852833e-14
640.9473031231552,2.542401198297739e-08,2.542401198297739e-14
666.0916491310809,2.1520653972402214e-08,2.1520653972402214e-14
692.2224071780083,1.4662511995993554e-08,1.4662511995993555e-14
719.3782741825361,1.075501716695726e-08,1.0755017166957258e-14
747.5994651423716,5.868795095011592e-09,5.868795095011591e-15
776.9277726885354,4.891437478363514e-09,4.891437478363514e-15
807.4066289758736,2.930696471594274e-09,2.930696471594274e-15
839.0811700015363,9.768594754859805e-10,9.768594754859805e-16
871.9983024466663,0.0,0.0
